# Time,     Fx,      Fy,      Fz,      Mx,      My,      Mz						
# (s)       (N)      (N)      (N)      (N-m)    (N-m)    (N-m)						
300	0	      0	        0       0       0	0
300.01	0             0	        0	0	0	0
302.82	-1476.922613	123.0768844	0	0	0	0
302.83	-738.4613065	492.3075377	0	0	0	0
302.84	1107.69196	1353.845729	0	0	0	0
302.85	1846.153266	1846.153266	0	0	0	0
302.86	615.3844221	1353.845729	0	0	0	0
302.87	-1353.845729	369.2306533	0	0	0	0
302.88	-2092.307035	0	0	0	0	0
302.89	-984.6150754	369.2306533	0	0	0	0
302.9	492.3075377	984.6150754	0	0	0	0
302.91	861.538191	984.6150754	0	0	0	0
302.92	369.2306533	246.1537688	0	0	0	0
302.93	123.0768844	0	0	0	0	0
302.94	492.3075377	861.538191	0	0	0	0
302.95	369.2306533	1846.153266	0	0	0	0
302.96	0	1599.999497	0	0	0	0
302.97	123.0768844	369.2306533	0	0	0	0
302.98	369.2306533	-246.1537688	0	0	0	0
302.99	-369.2306533	369.2306533	0	0	0	0
303	-1107.69196	1230.768844	0	0	0	0
303.01	246.1537688	1107.69196	0	0	0	0
303.02	2092.307035	615.3844221	0	0	0	0
303.03	984.6150754	369.2306533	0	0	0	0
303.04	-1353.845729	369.2306533	0	0	0	0
303.05	-1107.69196	369.2306533	0	0	0	0
303.06	738.4613065	738.4613065	0	0	0	0
303.07	1230.768844	1846.153266	0	0	0	0
303.08	615.3844221	2215.38392	0	0	0	0
303.09	738.4613065	984.6150754	0	0	0	0
303.1	369.2306533	-246.1537688	0	0	0	0
303.11	-492.3075377	123.0768844	0	0	0	0
303.12	-123.0768844	861.538191	0	0	0	0
303.13	1107.69196	1230.768844	0	0	0	0
303.14	861.538191	1230.768844	0	0	0	0
303.15	-246.1537688	1107.69196	0	0	0	0
303.16	-123.0768844	615.3844221	0	0	0	0
303.17	861.538191	615.3844221	0	0	0	0
303.18	861.538191	1107.69196	0	0	0	0
303.19	-123.0768844	1107.69196	0	0	0	0
303.2	-123.0768844	492.3075377	0	0	0	0
303.21	738.4613065	123.0768844	0	0	0	0
303.22	861.538191	738.4613065	0	0	0	0
303.23	123.0768844	1353.845729	0	0	0	0
303.24	-123.0768844	1107.69196	0	0	0	0
303.25	246.1537688	369.2306533	0	0	0	0
303.26	615.3844221	246.1537688	0	0	0	0
303.27	984.6150754	615.3844221	0	0	0	0
303.28	984.6150754	1107.69196	0	0	0	0
303.29	123.0768844	1353.845729	0	0	0	0
303.3	-738.4613065	1230.768844	0	0	0	0
303.31	-369.2306533	738.4613065	0	0	0	0
303.32	861.538191	246.1537688	0	0	0	0
303.33	1107.69196	246.1537688	0	0	0	0
303.34	369.2306533	738.4613065	0	0	0	0
303.35	246.1537688	861.538191	0	0	0	0
303.36	1107.69196	738.4613065	0	0	0	0
303.37	1723.076382	738.4613065	0	0	0	0
303.38	984.6150754	861.538191	0	0	0	0
303.39	-123.0768844	1107.69196	0	0	0	0
303.4	0	1476.922613	0	0	0	0
303.41	738.4613065	1599.999497	0	0	0	0
303.42	984.6150754	861.538191	0	0	0	0
303.43	861.538191	-123.0768844	0	0	0	0
303.44	369.2306533	-615.3844221	0	0	0	0
303.45	-123.0768844	0	0	0	0	0
303.46	-492.3075377	1230.768844	0	0	0	0
303.47	-492.3075377	1599.999497	0	0	0	0
303.48	0	861.538191	0	0	0	0
303.49	615.3844221	-123.0768844	0	0	0	0
303.5	861.538191	-246.1537688	0	0	0	0
303.51	1107.69196	492.3075377	0	0	0	0
303.52	984.6150754	1230.768844	0	0	0	0
303.53	615.3844221	1230.768844	0	0	0	0
303.54	123.0768844	615.3844221	0	0	0	0
303.55	246.1537688	246.1537688	0	0	0	0
303.56	492.3075377	615.3844221	0	0	0	0
303.57	123.0768844	1107.69196	0	0	0	0
303.58	-492.3075377	1107.69196	0	0	0	0
303.59	-615.3844221	615.3844221	0	0	0	0
303.6	0	369.2306533	0	0	0	0
303.61	861.538191	369.2306533	0	0	0	0
303.62	984.6150754	492.3075377	0	0	0	0
303.63	369.2306533	492.3075377	0	0	0	0
303.64	0	492.3075377	0	0	0	0
303.65	0	738.4613065	0	0	0	0
303.66	369.2306533	984.6150754	0	0	0	0
303.67	369.2306533	1107.69196	0	0	0	0
303.68	246.1537688	738.4613065	0	0	0	0
303.69	369.2306533	246.1537688	0	0	0	0
303.7	492.3075377	123.0768844	0	0	0	0
303.71	246.1537688	738.4613065	0	0	0	0
303.72	-246.1537688	1353.845729	0	0	0	0
303.73	-492.3075377	1476.922613	0	0	0	0
303.74	-738.4613065	984.6150754	0	0	0	0
303.75	-123.0768844	738.4613065	0	0	0	0
303.76	1230.768844	615.3844221	0	0	0	0
303.77	1723.076382	492.3075377	0	0	0	0
303.78	861.538191	369.2306533	0	0	0	0
303.79	-123.0768844	0	0	0	0	0
303.8	-246.1537688	-246.1537688	0	0	0	0
303.81	246.1537688	0	0	0	0	0
303.82	615.3844221	738.4613065	0	0	0	0
303.83	615.3844221	1230.768844	0	0	0	0
303.84	246.1537688	1230.768844	0	0	0	0
303.85	0	984.6150754	0	0	0	0
303.86	-123.0768844	615.3844221	0	0	0	0
303.87	123.0768844	369.2306533	0	0	0	0
303.88	123.0768844	615.3844221	0	0	0	0
303.89	369.2306533	1230.768844	0	0	0	0
303.9	861.538191	1353.845729	0	0	0	0
303.91	984.6150754	1107.69196	0	0	0	0
303.92	615.3844221	861.538191	0	0	0	0
303.93	246.1537688	738.4613065	0	0	0	0
303.94	492.3075377	369.2306533	0	0	0	0
303.95	615.3844221	369.2306533	0	0	0	0
303.96	246.1537688	615.3844221	0	0	0	0
303.97	0	615.3844221	0	0	0	0
303.98	369.2306533	492.3075377	0	0	0	0
303.99	369.2306533	738.4613065	0	0	0	0
304	0	1353.845729	0	0	0	0
304.01	0	1353.845729	0	0	0	0
304.02	492.3075377	738.4613065	0	0	0	0
304.03	738.4613065	369.2306533	0	0	0	0
304.04	492.3075377	615.3844221	0	0	0	0
304.05	369.2306533	984.6150754	0	0	0	0
304.06	492.3075377	984.6150754	0	0	0	0
304.07	123.0768844	615.3844221	0	0	0	0
304.08	-123.0768844	369.2306533	0	0	0	0
304.09	369.2306533	369.2306533	0	0	0	0
304.1	861.538191	615.3844221	0	0	0	0
304.11	492.3075377	861.538191	0	0	0	0
304.12	246.1537688	738.4613065	0	0	0	0
304.13	369.2306533	738.4613065	0	0	0	0
304.14	123.0768844	984.6150754	0	0	0	0
304.15	-123.0768844	1230.768844	0	0	0	0
304.16	369.2306533	984.6150754	0	0	0	0
304.17	861.538191	492.3075377	0	0	0	0
304.18	861.538191	246.1537688	0	0	0	0
304.19	492.3075377	615.3844221	0	0	0	0
